ClientID;Age;Anciennete;FactureMensuelle;reclamations;satisfaction
CUST_00001;18;114;31.605723256945044;3;3.5946474302049407
CUST_00002;46;3;41.336484052887094;1;4.543909573665161
CUST_00003;55;67;76.45149113052497;2;3.3358934207774715
CUST_00004;51;84;96.35138987022229;4;2.429333965780125
CUST_00005;26;89;112.63784958441535;2;3.778639363763879
CUST_00006;51;81;86.3872481960545;3;3.6650492322917203
CUST_00007;45;49;88.39185054205444;4;2.6396070861758587
CUST_00008;49;90;105.824769827523;1;4.013000154279323
CUST_00009;43;102;43.548850937288776;5;2.0333097377574196
CUST_00010;69;17;105.29482775552138;2;3.3822958715294282
CUST_00011;34;24;44.3881438089789;6;1.992071424820558
CUST_00012;63;17;88.57228085310594;5;2.453228959494606
CUST_00013;71;70;85.60093371016342;5;2.02394900392272
CUST_00014;26;78;102.02619613965602;1;4.346040890126734
CUST_00015;26;62;33.336446100644594;0;4.090461905839905
CUST_00016;66;99;115.82754602148309;6;1.7757140246665548
CUST_00017;23;95;112.25402861213698;0;4.439312944156235
CUST_00018;20;101;33.12673001345395;3;3.7405213587032238
CUST_00019;29;7;86.86263283768561;2;4.129428792619043
CUST_00020;29;9;75.01045977435851;6;1.8112986386266539
CUST_00021;39;90;28.078074456573383;1;4.013320963089923
CUST_00022;41;85;90.67997276332764;1;4.286247021367318
CUST_00023;54;104;34.50503827646175;4;2.6394684180275645
CUST_00024;76;26;99.81951941636348;0;4.371355745576346
CUST_00025;56;102;49.49311633258222;6;1.6652813978920524
CUST_00026;68;51;48.89002004022602;0;4.283322818858818
CUST_00027;25;6;34.85780846803085;1;4.50708888961581
CUST_00028;56;73;94.36167956982794;6;1.6887194471469043
CUST_00029;35;15;83.99078622377266;3;3.2264276976418094
CUST_00030;55;20;36.375063280274404;5;2.6289143065299903
CUST_00031;69;68;38.24900826026587;3;3.298809530758441
CUST_00032;56;26;90.38871239313;4;3.165488013635194
CUST_00033;70;90;118.53307772612861;7;1.375938112981141
CUST_00034;61;10;21.948176718500918;9;1.1695387038348177
